Review_Title,Review_Date,Type_of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Cabin_Staff_Service,Ground_Service,Value_For_Money,Recommended
"""disagreeable flight attendant""",19th March 2025,Solo Leisure,Business Class,Cape Town to London,March 2025,5.0,2.0,4.0,4,1
"""flight was delayed nearly 1 hour""",16th March 2025,Business,Business Class,London to Geneva,December 2024,1.0,1.0,1.0,1,0
"""full of attitude to me""",16th March 2025,Business,Premium Economy,London to New York,January 2025,1.0,1.0,5.0,1,0
"""service was outrageous""",16th March 2025,Business,Business Class,Chambery to London,January 2025,1.0,1.0,1.0,1,0
"""managed to get everything right""",7th March 2025,Business,Premium Economy,Gatwick to Antigua,March 2025,5.0,5.0,5.0,5,1
"""The seats were excellent""",28th February 2025,Couple Leisure,Premium Economy,Mumbai to London,February 2025,5.0,4.0,4.0,5,1
"""the crew were awful""",27th February 2025,Couple Leisure,Business Class,Nairobi to London,February 2025,4.0,1.0,4.0,3,0
"""not use British Airways on this route""",21st February 2025,Solo Leisure,Economy Class,London Gatwick to Marrakech,February 2025,4.0,1.0,2.0,2,0
"""they still haven't replied""",18th February 2025,Business,Premium Economy,Amsterdam to Las Vegas via London,November 2024,3.0,3.0,1.0,1,0
“food has really gone downhill”,14th February 2025,Couple Leisure,Business Class,London to Nairobi,February 2025,4.0,1.0,3.0,3,0
"""thoroughly enjoyed this flight""",14th February 2025,Solo Leisure,Economy Class,Dubai to London Heathrow,February 2025,4.0,5.0,5.0,5,1
“customer support was terrible”,7th February 2025,Couple Leisure,Economy Class,Zürich to London,December 2024,2.0,2.0,1.0,1,0
"""a really enjoyable experience""",1st February 2025,Couple Leisure,Business Class,London to Male,January 2025,5.0,5.0,5.0,4,1
"""Very good flight""",20th January 2025,Solo Leisure,Business Class,London Heathrow to Zurich,January 2025,3.0,4.0,4.0,4,1
"""relatively comfortable elderly plane""",19th January 2025,Family Leisure,Economy Class,London to Lisbon,January 2025,3.0,4.0,4.0,4,1
"""70 days chasing BA’s complaints department""",15th January 2025,Solo Leisure,Economy Class,Manchester to Isle of Man,November 2024,,,1.0,1,0
"""BA refused to reimburse me""",9th January 2025,Family Leisure,Premium Economy,Houston to cologne via London,December 2024,1.0,1.0,1.0,1,0
"""the flight was delayed""",5th January 2025,Business,Economy Class,London to Basel,January 2025,1.0,3.0,1.0,1,0
"""BA forced us to buy new tickets""",4th January 2025,Family Leisure,Economy Class,London to Phoenix,November 2023,2.0,2.0,1.0,1,0
“staff had no sympathy or empathy”,3rd January 2025,Family Leisure,Economy Class,London to Johannesburg,January 2025,1.0,1.0,1.0,1,0
"""the seat is outdated""",1st January 2025,Solo Leisure,Business Class,London to Cape Town via Johannesburg,December 2024,3.0,4.0,3.0,3,1
"""a national disgrace""",17th December 2024,Family Leisure,Economy Class,Larnaca to Glasgow via Heathrow,November 2024,1.0,1.0,1.0,1,0
"""sheer neglect in keeping us informed""",17th December 2024,Couple Leisure,Economy Class,London to Rome,December 2024,2.0,4.0,1.0,2,0
"""a huge disappointment""",14th December 2024,Business,Business Class,Washington to London,December 2024,4.0,3.0,1.0,1,0
"""we had to bus to the aircraft""",13th December 2024,Solo Leisure,Business Class,Cape Town to London,December 2024,5.0,5.0,4.0,5,1
"“victims of their new supper service""",12th December 2024,Solo Leisure,First Class,Mexico City to London Heathrow,November 2024,5.0,5.0,4.0,4,1
“flight was cancelled last minute”,6th December 2024,Solo Leisure,Economy Class,London to Amsterdam,December 2024,1.0,1.0,1.0,1,0
“Nobody wants to take responsibility”,2nd December 2024,Solo Leisure,Economy Class,Marrakesh to London,August 2024,2.0,2.0,1.0,1,0
"""Terrible customer service""",29th November 2024,Family Leisure,Economy Class,London Heathrow to Toronto,November 2024,1.0,1.0,1.0,1,0
“Is British Airways really this cheap”,23rd November 2024,Solo Leisure,Economy Class,Milan Italy to London Heathrow,November 2024,2.0,1.0,3.0,1,0
"""I will never fly BA again""",18th November 2024,Family Leisure,Economy Class,Madrid to San Diego via London,October 2024,2.0,3.0,1.0,3,0
"""I was pleasantly surprised""",17th November 2024,Family Leisure,Economy Class,London to Belfast,November 2024,3.0,2.0,5.0,5,0
"""flight attendants were outstanding""",15th November 2024,Couple Leisure,Business Class,Vancouver to London,November 2024,5.0,5.0,3.0,4,1
"""Food and service was the worst""",13th November 2024,Solo Leisure,Economy Class,Malaga to London,October 2024,1.0,1.0,1.0,2,0
“flying with BA was disappointing”,8th November 2024,Solo Leisure,Economy Class,Keflavik to Cape Town via London,October 2024,2.0,2.0,1.0,2,0
"""won't be using her return ticket""",8th November 2024,Couple Leisure,Economy Class,Singapore to Keflavik via London,October 2024,2.0,2.0,1.0,3,0
"""the same as low cost carriers""",7th November 2024,Solo Leisure,Economy Class,Las Palmas to London Gatwick,October 2024,2.0,2.0,3.0,4,0
“not refunding our money”,7th November 2024,Family Leisure,Economy Class,Gatwick to Florence,August 2024,1.0,3.0,1.0,1,0
“A very poor experience”,5th November 2024,Solo Leisure,Premium Economy,Mumbai to London,November 2024,2.0,2.0,4.0,1,0
"""food and beverages being targeted""",5th November 2024,Family Leisure,Business Class,Singapore to London,November 2024,5.0,4.0,5.0,3,1
"""never fly with them again""",3rd November 2024,Couple Leisure,Economy Class,Munich to London Heathrow,October 2024,2.0,3.0,1.0,1,0
"""still have not heard any updates""",3rd November 2024,Couple Leisure,Premium Economy,Heathrow to Boston,September 2024,2.0,5.0,1.0,1,0
"""cabin crew were nice""",3rd November 2024,Family Leisure,Economy Class,Los Angeles to London Heathrow,November 2024,3.0,4.0,4.0,3,1
"""support staff wash their hands of you""",2nd November 2024,Family Leisure,Premium Economy,Vancouver to London,August 2024,1.0,5.0,1.0,1,0
"""no fuss, no bother experience""",2nd November 2024,Solo Leisure,Economy Class,Vancouver to Gatwick,September 2024,4.0,5.0,5.0,4,1
"""Who can trust BA to travel2",31st October 2024,Solo Leisure,Economy Class,London to Istanbul,October 2024,3.0,3.0,1.0,1,0
"""just another poor airline""",31st October 2024,Couple Leisure,Business Class,San Francisco to Barcelona via London,October 2024,3.0,2.0,3.0,2,0
"""spent two hours trying to make contact with BA""",25th October 2024,Business,Business Class,Mexico City to London Heathrow,October 2024,1.0,1.0,1.0,1,0
"""using another airline for future travel""",24th October 2024,Solo Leisure,Business Class,Paris to Boston via London,July 2024,1.0,1.0,1.0,2,0
"""oversold tickets on our flight""",22nd October 2024,Family Leisure,Economy Class,Geneva to London,September 2024,,,1.0,1,0
“Appalling service”,14th October 2024,Business,Business Class,Johannesburg to London,October 2024,2.0,1.0,1.0,1,0
“BA’s petty penny pinching ”,12th October 2024,Business,Business Class,London to Mexico City,October 2024,1.0,5.0,2.0,3,1
“British arrogance with no manners”,12th October 2024,Couple Leisure,Business Class,Berlin to London Heathrow,October 2024,1.0,1.0,2.0,1,0
"""Terrible customer service""",12th October 2024,Couple Leisure,Business Class,London Heathrow to Philadelphia,September 2024,1.0,1.0,1.0,1,0
“left much to be desired”,9th October 2024,Solo Leisure,Economy Class,Johannesburg to New York City via Heathrow,October 2024,5.0,4.0,3.0,2,0
"""crew were all very friendly""",8th October 2024,Solo Leisure,Premium Economy,New York JFK to London Heathrow,October 2024,5.0,5.0,5.0,4,1
